Cp_AB,F_AB
22.9969E-9,1.0000E+3
21.8137E-9,2.0000E+3
21.1515E-9,3.0000E+3
20.7001E-9,4.0000E+3
20.3552E-9,5.0000E+3
20.0809E-9,6.0000E+3
19.8462E-9,7.0000E+3
19.6456E-9,8.0000E+3
19.4751E-9,9.0000E+3
19.3235E-9,10.0000E+3
18.3505E-9,20.0000E+3
17.7857E-9,30.0000E+3
17.3850E-9,40.0000E+3
17.0829E-9,50.0000E+3
16.8394E-9,60.0000E+3
16.6385E-9,70.0000E+3
16.4655E-9,80.0000E+3
16.3149E-9,90.0000E+3
16.1810E-9,100.0000E+3
15.3536E-9,200.0000E+3
14.7874E-9,300.0000E+3
14.4506E-9,400.0000E+3
14.1961E-9,500.0000E+3
13.9676E-9,600.0000E+3
13.8100E-9,700.0000E+3
13.6528E-9,800.0000E+3
13.5137E-9,900.0000E+3
13.3510E-9,1.0000E+6
12.0612E-9,2.0000E+6
12.6734E-9,3.0000E+6
9.5261E-9,4.0000E+6
8.3454E-9,5.0000E+6
7.2376E-9,6.0000E+6
6.7257E-9,7.0000E+6
4.3387E-9,8.0000E+6
-210.2691E-12,9.0000E+6
-12.8755E-12,10.0000E+6
,
,
,
,
